Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
1996,Unknown,128 min,"Crime, Drama, Thriller",8.2,79.0,64118,23530892.0
1995,A,170 min,"Crime, Drama, Thriller",8.2,76.0,577113,67436818.0
1995,A,178 min,"Crime, Drama",8.2,73.0,466276,42438300.0
1994,U,160 min,"Action, Comedy, Romance",8.2,79.0,49300,23530892.0
1992,A,130 min,"Drama, Western",8.2,85.0,375935,101157447.0
1989,U,127 min,"Action, Adventure",8.2,65.0,692366,197171806.0
1988,R,142 min,"Comedy, Crime, Drama",8.2,79.0,26402,280015.0
1988,U,86 min,"Animation, Family, Fantasy",8.2,86.0,291180,1105564.0
1988,A,132 min,"Action, Thriller",8.2,72.0,793164,83008852.0
1985,U,162 min,"Action, Drama, War",8.2,96.0,112505,4135750.0
1980,A,129 min,"Biography, Drama, Sport",8.2,89.0,321860,23383987.0
1979,U,162 min,"Drama, Sci-Fi",8.2,79.0,116945,234723.0
1978,U,99 min,"Drama, Music",8.2,79.0,26875,23530892.0
1976,PG,177 min,"Biography, Drama, History",8.2,79.0,43885,23530892.0
1975,U,204 min,"Action, Adventure, Comedy",8.2,79.0,51284,23530892.0
1975,PG,91 min,"Adventure, Comedy, Fantasy",8.2,91.0,500875,1229197.0
1963,U,172 min,"Adventure, Drama, History",8.2,86.0,224730,12100000.0
1962,U,129 min,"Crime, Drama",8.2,88.0,293811,23530892.0
1961,Unknown,110 min,"Action, Drama, Thriller",8.2,79.0,111244,23530892.0
1961,A,179 min,"Drama, War",8.2,60.0,69458,23530892.0
1959,U,121 min,"Comedy, Music, Romance",8.2,98.0,243943,25000000.0
1957,U,91 min,"Drama, Romance",8.2,88.0,96381,23530892.0
1957,A,96 min,"Drama, Fantasy, History",8.2,88.0,164939,23530892.0
1955,Unknown,118 min,"Crime, Drama, Thriller",8.2,97.0,28810,57226.0
1954,A,105 min,"Crime, Thriller",8.2,75.0,158335,12562.0
1953,U,136 min,Drama,8.2,79.0,53153,23530892.0
1950,Unknown,88 min,"Crime, Drama, Mystery",8.2,98.0,152572,96568.0
1950,Passed,138 min,Drama,8.2,98.0,120539,10177.0
1948,Passed,126 min,"Adventure, Drama, Western",8.2,98.0,114304,5014000.0
1942,Passed,99 min,"Comedy, War",8.2,86.0,29915,23530892.0
1925,Passed,95 min,"Adventure, Comedy, Drama",8.2,79.0,101053,5450000.0
1924,Passed,45 min,"Action, Comedy, Romance",8.2,79.0,41985,977375.0
2019,R,122 min,"Drama, Romance",8.1,95.0,63134,3759854.0
2016,UA,136 min,"Drama, Thriller",8.1,79.0,39216,1241223.0
2016,16,130 min,"Animation, Drama, Family",8.1,78.0,47708,23530892.0
2016,TV-MA,106 min,"Crime, Drama, Mystery",8.1,79.0,141516,23530892.0
2016,A,145 min,"Drama, Romance, Thriller",8.1,84.0,113649,2006788.0
2014,R,139 min,Drama,8.1,74.0,50700,3492754.0
2014,UA,160 min,"Action, Crime, Drama",8.1,79.0,50445,901610.0
2017,A,137 min,"Action, Drama, Sci-Fi",8.1,77.0,647884,226277068.0
2015,R,118 min,"Drama, Thriller",8.1,86.0,371538,14677674.0
2014,R,122 min,"Comedy, Drama, Thriller",8.1,77.0,177059,3107072.0
2020,U,100 min,"Animation, Adventure, Comedy",8.1,83.0,159171,23530892.0
2014,Unknown,196 min,Drama,8.1,88.0,46547,165520.0
2014,UA,153 min,"Comedy, Drama, Musical",8.1,79.0,163061,10616104.0
2012,U,125 min,"Comedy, Drama, Fantasy",8.1,79.0,51739,923221.0
2014,UA,99 min,"Adventure, Comedy, Crime",8.1,88.0,707630,59100318.0
2014,A,149 min,"Drama, Mystery, Thriller",8.1,79.0,859695,167767189.0
2012,U,117 min,"Animation, Drama, Fantasy",8.1,71.0,38803,23530892.0
2016,A,139 min,"Biography, Drama, History",8.1,71.0,435928,67209615.0
2015,U,95 min,"Animation, Adventure, Comedy",8.1,94.0,616228,356461711.0
2012,U,151 min,"Comedy, Drama, Romance",8.1,79.0,75721,2804874.0
2013,A,134 min,"Biography, Drama, History",8.1,96.0,640533,56671993.0
2013,UA,123 min,"Action, Biography, Drama",8.1,74.0,432811,26947624.0
2019,UA,152 min,"Action, Biography, Drama",8.1,81.0,291289,117624028.0
2015,A,129 min,"Biography, Crime, Drama",8.1,93.0,420316,45055776.0
2014,PG,93 min,"Animation, Adventure, Drama",8.1,85.0,51679,857524.0
2012,UA,122 min,"Mystery, Thriller",8.1,79.0,57806,1035953.0
2011,U,155 min,"Comedy, Drama",8.1,79.0,67927,3108485.0
2013,A,153 min,"Crime, Drama, Mystery",8.1,70.0,601149,61002302.0
2015,UA,120 min,"Action, Adventure, Sci-Fi",8.1,90.0,882316,154058340.0
2008,UA,104 min,"Action, Crime, Drama",8.1,79.0,73891,23530892.0
2008,R,116 min,Drama,8.1,72.0,720450,148095302.0
2011,UA,130 min,"Adventure, Drama, Fantasy",8.1,85.0,764493,381011219.0
2008,PG-13,130 min,"Drama, Music",8.1,68.0,48582,1498210.0
2009,G,93 min,"Biography, Drama, Family",8.1,79.0,253575,23530892.0
2009,Unknown,92 min,"Animation, Comedy, Drama",8.1,79.0,164462,23530892.0
2010,U,98 min,"Animation, Action, Adventure",8.1,75.0,666773,217581231.0
2007,R,148 min,"Adventure, Biography, Drama",8.1,73.0,572921,18354356.0
2007,R,122 min,"Crime, Drama, Thriller",8.1,91.0,856916,74283625.0
2006,U,144 min,"Comedy, Drama, Romance",8.1,79.0,43137,2217561.0
2004,UA,132 min,"Drama, Sport",8.1,86.0,635975,100492203.0
2004,PG-13,121 min,"Biography, Drama, History",8.1,79.0,334320,23530892.0
2004,R,140 min,"Action, Drama, War",8.1,64.0,37820,1111061.0
2004,R,80 min,"Drama, Romance",8.1,90.0,236311,5820649.0
2003,U,156 min,"Comedy, Drama, Musical",8.1,79.0,73992,23530892.0
2003,UA,131 min,"Crime, Drama, Mystery",8.1,82.0,139558,14131.0
2001,Unrated,183 min,"Comedy, Drama, Romance",8.1,79.0,66803,300000.0
2003,R,111 min,"Action, Crime, Drama",8.1,69.0,1000639,70099045.0
2003,U,100 min,"Animation, Adventure, Comedy",8.1,90.0,949565,380843261.0
2002,A,141 min,"Biography, Crime, Drama",8.1,75.0,832846,164615351.0
2000,A,154 min,"Drama, Thriller",8.1,83.0,223741,5383834.0
2001,U,92 min,"Animation, Adventure, Comedy",8.1,79.0,815505,289916256.0
1997,UA,87 min,"Animation, Action, Drama",8.1,79.0,38847,23530892.0
2001,U,224 min,"Adventure, Drama, Musical",8.1,84.0,105036,70147.0
1999,A,107 min,"Drama, Mystery, Thriller",8.1,64.0,911573,293506292.0
1998,U,169 min,"Drama, Music, Romance",8.1,58.0,59020,259127.0
1998,U,103 min,"Comedy, Drama",8.1,90.0,939631,125618201.0
1998,R,127 min,"Comedy, Crime, Romance",8.1,73.0,50862,348660.0
1998,R,117 min,"Comedy, Crime, Sport",8.1,71.0,732620,17498804.0
2000,U,98 min,"Drama, Romance",8.1,85.0,124383,2734044.0
1996,A,93 min,Drama,8.1,83.0,634716,16501785.0
1996,A,98 min,"Crime, Drama, Thriller",8.1,85.0,617444,24611975.0
1995,Unknown,170 min,"Comedy, Drama, War",8.1,79.0,55220,171082.0
1995,UA,98 min,"Crime, Drama",8.1,79.0,150345,309811.0
1995,U,189 min,"Drama, Romance",8.1,79.0,63516,23530892.0
1995,R,101 min,"Drama, Romance",8.1,77.0,272291,5535405.0
1994,U,99 min,"Drama, Mystery, Romance",8.1,100.0,90729,4043686.0
1994,U,102 min,"Comedy, Crime, Drama",8.1,77.0,63122,600200.0
1993,UA,127 min,"Action, Adventure, Sci-Fi",8.1,68.0,867615,402453882.0
1993,UA,133 min,"Biography, Crime, Drama",8.1,84.0,156842,25010410.0
1993,R,171 min,"Drama, Music, Romance",8.1,79.0,25088,5216888.0
1991,PG,125 min,"Drama, History, Romance",8.1,79.0,29662,2603061.0
1989,U,128 min,"Comedy, Drama",8.1,79.0,425457,95860116.0
1986,U,89 min,"Adventure, Drama",8.1,75.0,363401,52287414.0
1986,A,120 min,"Drama, War",8.1,92.0,381222,138530565.0
1984,U,145 min,Drama,8.1,78.0,91188,2181987.0
1984,U,117 min,"Animation, Adventure, Fantasy",8.1,86.0,150924,495770.0
1982,A,109 min,"Horror, Mystery, Sci-Fi",8.1,57.0,371271,13782838.0
1982,UA,95 min,"Drama, Fantasy, Music",8.1,47.0,76081,22244207.0
1982,R,158 min,"Adventure, Drama",8.1,79.0,31595,23530892.0
1982,A,188 min,Drama,8.1,100.0,57784,4971340.0
1982,UA,117 min,"Action, Sci-Fi, Thriller",8.1,84.0,693827,32868943.0
1980,UA,124 min,"Biography, Drama",8.1,78.0,220078,23530892.0
1979,R,94 min,Comedy,8.1,77.0,367250,20045115.0
1978,A,183 min,"Drama, War",8.1,86.0,311361,48979328.0
1976,U,120 min,"Drama, Sport",8.1,70.0,518546,117235247.0
1976,UA,121 min,Drama,8.1,83.0,144911,23530892.0
1975,PG,185 min,"Adventure, Drama, History",8.1,89.0,149843,23530892.0
1975,G,107 min,"Biography, Drama",8.1,79.0,40081,177345.0
1974,UA,130 min,"Drama, Mystery, Thriller",8.1,92.0,294230,29000000.0
1973,U,102 min,"Comedy, Crime, Drama",8.1,77.0,42285,30933743.0
1972,A,91 min,Drama,8.1,79.0,30206,1742348.0
1972,PG,167 min,"Drama, Mystery, Sci-Fi",8.1,90.0,81021,23530892.0
1967,GP,105 min,"Crime, Drama, Mystery",8.1,79.0,45434,39481.0
1967,A,127 min,"Crime, Drama",8.1,92.0,161984,16217773.0
1966,Unknown,85 min,"Drama, Thriller",8.1,86.0,103191,23530892.0
1966,R,205 min,"Biography, Drama, History",8.1,79.0,46947,102021.0
1966,Unknown,121 min,"Drama, War",8.1,96.0,53089,55908.0
1962,Unknown,95 min,"Drama, Fantasy",8.1,79.0,29682,23530892.0
1962,Passed,134 min,"Drama, Horror, Thriller",8.1,75.0,50058,4050000.0
1962,U,96 min,"Action, Comedy, Crime",8.1,79.0,33044,23530892.0
1962,Unknown,123 min,"Drama, Western",8.1,94.0,68827,23530892.0
1962,Unknown,95 min,"Drama, War",8.1,79.0,31728,23530892.0
1960,A,89 min,Drama,8.1,79.0,26697,1526000.0
1960,Passed,128 min,"Biography, Drama, History",8.1,75.0,27254,23530892.0
1959,Unknown,99 min,"Crime, Drama",8.1,79.0,105291,23530892.0
1959,U,212 min,"Adventure, Drama, History",8.1,90.0,219466,74700000.0
1958,Unknown,139 min,"Adventure, Drama",8.1,79.0,34797,23530892.0
1957,Unknown,110 min,Drama,8.1,79.0,42940,752045.0
1957,Unknown,110 min,"Drama, History",8.1,79.0,46678,23530892.0
1957,PG,161 min,"Adventure, Drama, War",8.1,87.0,203463,44908000.0
1954,A,108 min,"Crime, Drama, Thriller",8.1,91.0,142107,9600000.0
1953,U,131 min,"Adventure, Drama, Thriller",8.1,85.0,54588,23530892.0
1951,Approved,111 min,"Drama, Film-Noir",8.1,72.0,31568,3969893.0
1949,Unknown,114 min,"Action, Crime, Drama",8.1,79.0,29807,23530892.0
1949,Approved,104 min,"Film-Noir, Mystery, Thriller",8.1,97.0,158731,449191.0
1948,Unknown,135 min,"Drama, Music, Romance",8.1,79.0,30935,10900000.0
1940,Unknown,99 min,"Comedy, Drama, Romance",8.1,96.0,28450,203300.0
1940,Approved,130 min,"Drama, Mystery, Romance",8.1,86.0,123942,4360000.0
1939,Passed,129 min,"Comedy, Drama",8.1,73.0,107017,9600000.0
1939,U,238 min,"Drama, History, Romance",8.1,97.0,290074,198676459.0
1937,Unknown,113 min,"Drama, War",8.1,79.0,33829,172885.0
1934,Approved,105 min,"Comedy, Romance",8.1,87.0,94016,4360000.0
1928,Passed,110 min,"Biography, Drama, History",8.1,79.0,47676,21877.0
1928,Passed,72 min,"Comedy, Romance",8.1,90.0,30205,23530892.0
1927,Passed,94 min,"Drama, Romance",8.1,79.0,46865,539540.0
1926,Passed,67 min,"Action, Adventure, Comedy",8.1,79.0,81156,1033895.0
1920,Unknown,76 min,"Fantasy, Horror, Mystery",8.1,79.0,57428,23530892.0
2018,UA,124 min,"Comedy, Drama",8.0,79.0,27978,23530892.0
2019,U,113 min,"Adventure, Biography, Drama",8.0,69.0,37556,23530892.0
2016,UA,130 min,"Drama, History",8.0,79.0,52897,23530892.0
2015,UA,163 min,"Action, Adventure, Comedy",8.0,79.0,72245,8178001.0
2015,UA,159 min,"Action, Crime, Thriller",8.0,79.0,52848,23530892.0
2016,A,128 min,"Comedy, Drama, Music",8.0,94.0,505918,151101803.0
2016,U,118 min,"Biography, Drama",8.0,69.0,213970,51739495.0
2015,UA,144 min,"Adventure, Drama, Sci-Fi",8.0,80.0,760094,228433663.0
2016,U,108 min,"Animation, Adventure, Comedy",8.0,78.0,434143,341268248.0
2015,UA,159 min,"Action, Drama",8.0,79.0,102972,6738000.0
2013,U,137 min,"Animation, Adventure, Drama",8.0,89.0,38746,1506975.0
2017,U,113 min,"Drama, Family",8.0,66.0,141923,132422809.0
2019,UA,154 min,"Drama, Music, Romance",8.0,65.0,31886,5566534.0
2013,UA,144 min,"Crime, Drama, Thriller",8.0,79.0,51069,1079369.0
2013,R,96 min,Drama,8.0,82.0,81770,1010414.0
2014,A,150 min,"Action, Crime, Thriller",8.0,71.0,114316,2625803.0
2014,UA,114 min,"Biography, Drama, Thriller",8.0,73.0,685201,91125683.0
2014,UA,121 min,"Action, Adventure, Comedy",8.0,76.0,1043455,333176600.0
2017,UA,164 min,"Action, Drama, Mystery",8.0,81.0,461823,92054159.0
2013,A,126 min,"Drama, Romance, Sci-Fi",8.0,90.0,540772,25568251.0
2018,UA,134 min,"Biography, Drama, Music",8.0,49.0,450349,216428042.0
2015,A,156 min,"Action, Adventure, Drama",8.0,76.0,705589,183637894.0
2012,UA,103 min,"Drama, Romance",8.0,67.0,462252,17738570.0
2010,Unknown,115 min,"Action, Crime, Drama",8.0,71.0,79200,100119.0
2010,U,118 min,"Biography, Drama, History",8.0,88.0,639603,138797449.0
2011,UA,146 min,Drama,8.0,62.0,428521,169708112.0
2016,R,108 min,"Action, Adventure, Comedy",8.0,65.0,902669,363070709.0
2009,TV-PG,119 min,"Drama, Mystery",8.0,87.0,45803,106662.0
2009,A,144 min,"Drama, Romance",8.0,79.0,28749,10950.0
2008,R,106 min,"Action, Biography, Drama",8.0,59.0,211427,23530892.0
2010,UA,165 min,Drama,8.0,50.0,98575,4018695.0
2009,Unknown,128 min,"Action, Drama, Thriller",8.0,79.0,31838,23530892.0
2008,UA,120 min,"Drama, Romance",8.0,84.0,798882,141319928.0
2010,A,108 min,"Drama, Thriller",8.0,79.0,699673,106954678.0
2007,R,115 min,"Action, Crime, Drama",8.0,33.0,98097,8060.0
2012,UA,143 min,"Action, Adventure, Sci-Fi",8.0,69.0,1260806,623279547.0
2007,PG-13,96 min,"Animation, Biography, Drama",8.0,90.0,88656,4445756.0
2013,R,117 min,"Biography, Drama",8.0,80.0,441614,27298285.0
2006,U,117 min,"Biography, Drama",8.0,64.0,448930,163566459.0
2006,A,143 min,"Adventure, Drama, Thriller",8.0,64.0,499439,57366262.0
2007,UA,115 min,"Action, Mystery, Thriller",8.0,85.0,604694,227471070.0
2004,U,88 min,"Crime, Drama, Romance",8.0,72.0,50610,238507.0
2005,A,124 min,"Crime, Thriller",8.0,74.0,738512,74103820.0
